id,name,gender,year,place,url,image
,Chelsea Chen CHEN,U,2030,China,,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
7639,Atlas Group,,1999,,http://www.tate.org.uk/art/artists/atlas-group-7639,http://www.tate.org.uk/art/images/work/T/T11/T11912_7.jpg
18267,"Paul, Pallavi",,1986,,http://www.tate.org.uk/art/artists/pallavi-paul-18267,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
18244,"Hamdan, Lawrence Abu",,1985,,http://www.tate.org.uk/art/artists/lawrence-abu-hamdan-18244,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
15587,"Andrade, Jonathas de",Male,1982,"Maceió, Brasil",http://www.tate.org.uk/art/artists/jonathas-de-andrade-15587,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
15601,"Atkins, Ed",Male,1982,United Kingdom,http://www.tate.org.uk/art/artists/ed-atkins-15601,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
11893,"Vonna-Michell, Tris",Male,1982,"Rochford,  United Kingdom",http://www.tate.org.uk/art/artists/tris-vonna-michell-11893,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
14729,"Madani, Tala",Female,1981,Îran,http://www.tate.org.uk/art/artists/tala-madani-14729,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
12939,"Ewan, Ruth",Female,1980,"Aberdeen,  United Kingdom",http://www.tate.org.uk/art/artists/ruth-ewan-12939,http://www.tate.org.uk/art/images/work/P/P79/P79790_7.jpg
13099,"Ziolkowski, Jakub Julian",,1980,,http://www.tate.org.uk/art/artists/jakub-julian-ziolkowski-13099,http://www.tate.org.uk/art/images/work/T/T12/T12915_7.jpg
13676,"Eskandarfar, Samira",Female,1980,"Tehran, Îran",http://www.tate.org.uk/art/artists/samira-eskandarfar-13676,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
7121,"Relph, Nick",Male,1979,"London,  United Kingdom",http://www.tate.org.uk/art/artists/nick-relph-7121,http://www.tate.org.uk/art/images/work/T/T11/T11814_7.jpg
13751,"Unwin, Phoebe",Female,1979,"Cambridge,  United Kingdom",http://www.tate.org.uk/art/artists/phoebe-unwin-13751,http://www.tate.org.uk/art/images/work/T/T13/T13224_7.jpg
13677,"Ansarinia, Nazgol",Female,1979,"Tehran, Îran",http://www.tate.org.uk/art/artists/nazgol-ansarinia-13677,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
12556,"Cidade, Marcelo",Male,1979,,http://www.tate.org.uk/art/artists/marcelo-cidade-12556,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
12913,"Green, Jesse",Male,1979,"Boston, United States",http://www.tate.org.uk/art/artists/jesse-aron-green-12913,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
14992,"Gusmão, João Maria",Male,1979,"Lisboa, Portugal",http://www.tate.org.uk/art/artists/joao-maria-gusmao-14992,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
10272,"Cao, Fei",Female,1978,"Guangzhou, Zhonghua",http://www.tate.org.uk/art/artists/cao-fei-10272,http://www.tate.org.uk/art/images/work/T/T12/T12754_7.jpg
15101,"Komatsu, André",Male,1978,"São Paulo, Brasil",http://www.tate.org.uk/art/artists/andre-komatsu-15101,http://www.tate.org.uk/art/images/work/T/T13/T13583_7.jpg
4789,"Hamilton, Anthea",Female,1978,"London, United Kingdom",http://www.tate.org.uk/art/artists/anthea-hamilton-4789,http://www.tate.org.uk/art/images/work/T/T14/T14114_7.jpg
12604,"Arcangel, Cory",Male,1978,"Buffalo, United States",http://www.tate.org.uk/art/artists/cory-arcangel-12604,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
9061,"Fowler, Luke",Male,1978,"Glasgow,  United Kingdom",http://www.tate.org.uk/art/artists/luke-fowler-9061,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
15958,"Haerizadeh, Rokni",Male,1978,"Tehran, Îran",http://www.tate.org.uk/art/artists/rokni-haerizadeh-15958,https://i0.wp.com/chelseachenchen.files.wordpress.com/2018/04/tate-logo1.png?ssl=1&w=450
10838,"Koh, Terence",Male,1977,"Beijing, Zhonghua",http://www.tate.org.uk/art/artists/terence-koh-10838,http://www.tate.org.uk/art/images/work/L/L02/L02762_7.jpg
5493,Payne and Relph,Male,1977,,http://www.tate.org.uk/art/artists/oliver-payne-and-nick-relph-5493,http://www.tate.org.uk/art/images/work/P/P79/P79789_7.jpg
7120,"Payne, Oliver",Male,1977,"London, United Kingdom",http://www.tate.org.uk/art/artists/oliver-payne-7120,http://www.tate.org.uk/art/images/work/T/T11/T11814_7.jpg
11761,"Bronstein, Pablo",Male,1977,"Buenos Aires, Argentina",http://www.tate.org.uk/art/artists/pablo-bronstein-11761,http://www.tate.org.uk/art/images/work/T/T12/T12782_7.jpg
11459,"Salmeron, Ernesto",Male,1977,"Managua, Nicaragua",http://www.tate.org.uk/art/artists/ernesto-salmeron-11459,http://www.tate.org.uk/art/images/work/T/T12/T12991_7.jpg
13391,"Skaer, Lucy",Female,1977,"Cambridge, United Kingdom",http://www.tate.org.uk/art/artists/lucy-skaer-13391,http://www.tate.org.uk/art/images/work/T/T12/T12993_7.jpg
11556,"Channer, Alice",Female,1977,"Oxford, United Kingdom",http://www.tate.org.uk/art/artists/alice-channer-11556,http://www.tate.org.uk/art/images/work/T/T13/T13040_7.jpg
13678,"Bakhshi Moakhar, Mahmoud",Male,1977,"Tehran, Îran",http://www.tate.org.uk/art/artists/mahmoud-bakhshi-moakhar-13678,http://www.tate.org.uk/art/images/work/T/T13/T13191_7.jpg
